Date,Open,High,Low,Close,Adj Close,Volume
2023-05-01,1868.89111328125,1886.2064208984375,1809.1932373046875,1831.954833984375,1831.954833984375,8625783201
2023-05-02,1831.7265625,1879.759521484375,1824.3270263671875,1870.789306640625,1870.789306640625,7536785767
2023-05-03,1870.6871337890625,1915.504150390625,1845.871826171875,1904.65185546875,1904.65185546875,8306390869
2023-05-04,1905.1689453125,1915.8717041015625,1868.6297607421875,1877.7041015625,1877.7041015625,6578438233
2023-05-05,1877.8331298828125,1998.41357421875,1876.9466552734375,1995.0609130859375,1995.0609130859375,9498261360
2023-05-06,1995.4791259765625,2017.5594482421875,1870.6055908203125,1900.2218017578125,1900.2218017578125,9623243037
2023-05-07,1899.9176025390625,1933.9984130859375,1873.076416015625,1873.076416015625,1873.076416015625,6883942236
2023-05-08,1872.47509765625,1886.162109375,1818.4505615234375,1849.042724609375,1849.042724609375,9895102899
2023-05-09,1849.06103515625,1860.66748046875,1832.906982421875,1848.6031494140625,1848.6031494140625,6129516088
2023-05-10,1848.2135009765625,1886.80029296875,1795.6688232421875,1842.4014892578125,1842.4014892578125,9945549603
2023-05-11,1842.4920654296875,1842.4920654296875,1774.132568359375,1796.4906005859375,1796.4906005859375,8353828312
2023-05-12,1795.1766357421875,1812.4249267578125,1742.40380859375,1808.019775390625,1808.019775390625,9047198660
2023-05-13,1808.375,1816.0584716796875,1788.4755859375,1796.1148681640625,1796.1148681640625,4647630864
2023-05-14,1796.10791015625,1823.49072265625,1793.228759765625,1800.5009765625,1800.5009765625,4711210241
2023-05-15,1800.3712158203125,1845.6954345703125,1787.536376953125,1817.5499267578125,1817.5499267578125,6748889346
2023-05-16,1816.82421875,1830.3515625,1797.84375,1824.1214599609375,1824.1214599609375,5595959668
2023-05-17,1824.068359375,1835.5545654296875,1786.6719970703125,1821.859619140625,1821.859619140625,6352161579
2023-05-18,1822.0682373046875,1831.4503173828125,1774.195068359375,1801.728515625,1801.728515625,5673124255
2023-05-19,1800.994384765625,1826.1942138671875,1797.4344482421875,1812.5894775390625,1812.5894775390625,4796110259
2023-05-20,1812.76611328125,1829.0096435546875,1808.0467529296875,1820.47802734375,1820.47802734375,2951655969
2023-05-21,1820.1380615234375,1827.9219970703125,1799.9468994140625,1804.5313720703125,1804.5313720703125,3386768865
2023-05-22,1804.8419189453125,1826.696533203125,1793.2239990234375,1817.5347900390625,1817.5347900390625,4534841049
2023-05-23,1817.7811279296875,1869.343994140625,1816.2879638671875,1854.380615234375,1854.380615234375,6820047160
2023-05-24,1854.2996826171875,1854.2996826171875,1780.925537109375,1800.0999755859375,1800.0999755859375,7101647419
